"コード","銘柄名","市場","現在値","前日比(%)"
"1301","極洋","東P","4670","+55.0(+1.19%)"
"130A","Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ","東G","411","+1.0(+0.24%)"
"1332","ニッスイ","東P","1340.5","+36.0(+2.76%)"
"1333","Ｕｍｉｏｓ","東P","1378.5","+24.0(+1.77%)"
"135A","ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ","東G","3565","+30.0(+0.85%)"
"1375","ユキグニファクトリー","東P","1204","+40.0(+3.44%)"
"1376","カネコ種苗","東S","1575","+39.0(+2.54%)"
"1377","サカタのタネ","東P","4525","+85.0(+1.91%)"
"1379","ホクト","東P","1989","+31.0(+1.58%)"
"137A","Ｃｏｃｏｌｉｖｅ","東G","663","-19.0(-2.79%)"
"1380","秋川牧園","東S","999","+1.0(+0.10%)"
"1381","アクシーズ","東S","3425","-90.0(-2.56%)"
"1382","ホーブ","東S","830","-14.0(-1.66%)"
"1383","ベルグアース","東S","3030","+5.0(+0.17%)"
"1384","ホクリヨウ","東S","2022","+7.0(+0.35%)"
"138A","光フードサービス","東G","2921","-29.0(-0.98%)"
"1401","エムビーエス","東G","1265","+5.0(+0.40%)"
"1407","ウエストＨＬＤＧ","東S","2648","+14.0(+0.53%)"
"1414","ショーボンドＨＬＤＧ","東P","1353.0","+23.0(+1.73%)"
"1417","ミライト・ワン","東P","3578.0","-33.0(-0.91%)"
"1418","インターライフＨＬＤＧ","東S","604","+17.0(+2.90%)"
"1419","タマホーム","東P","3105","+90.0(+2.99%)"
"141A","トライアルＨＬＤＧ","東G","3035","-10.0(-0.33%)"
"1420","サンヨーホームズ","東S","644","-1.0(-0.16%)"
"1429","日本アクア","東P","763","+13.0(+1.73%)"
"142A","ジンジブ","東G","760","-12.0(-1.55%)"
"1430","ファーストコーポレーション","東S","1014","+6.0(+0.60%)"
"1431","Ｌｉｂ　Ｗｏｒｋ","東G","656","+13.0(+2.02%)"
"1433","ベステラ","東P","1137","-10.0(-0.87%)"
"1434","ＪＥＳＣＯ　ＨＬＤＧ","東S","1618","-55.0(-3.29%)"
"1435","ｒｏｂｏｔ　ｈｏｍｅ","東S","161","-2.0(-1.23%)"
"1436","グリーンエナジー＆カンパニー","東G","1221","-51.0(-4.01%)"
"1438","岐阜造園","東S","1950","+10.0(+0.52%)"
"143A","イシン","東G","657","-20.0(-2.95%)"
"1443","技研ＨＬＤＧ","東S","251","+4.0(+1.62%)"
"1444","ニッソウ","東G","2826","-7.0(-0.25%)"
"1446","キャンディル","東S","536","-4.0(-0.74%)"
"1447","ＳＡＡＦＨＬＤＧ","東G","383","+18.0(+4.93%)"
"1450","ＴＡＮＡＫＥＮ","東S","1449","+55.0(+3.95%)"
"145A","Ｌ　ｉｓ　Ｂ","東G","829","-25.0(-2.93%)"
"146A","コロンビア・ワークス","東S","3110","-5.0(-0.16%)"
"147A","ソラコム","東G","1011","+4.0(+0.40%)"
"148A","ハッチ・ワーク","東G","1670","+0.0(+0.00%)"
"1491","中外鉱業","東S","723","+9.0(+1.26%)"
"149A","シンカ","東G","737","-8.0(-1.07%)"
"150A","ＪＳＨ","東G","454","+7.0(+1.57%)"
"1514","住石ＨＬＤＧ","東S","570","-11.0(-1.89%)"
"1515","日鉄鉱業","東P","2700","-149.0(-5.23%)"
"1518","三井松島ＨＬＤＧ","東P","2349","+37.0(+1.60%)"
"151A","ダイブグループ","東G","645","+3.0(+0.47%)"
"153A","カウリス","東G","1174","-16.0(-1.34%)"
"155A","情報戦略テクノロジー","東G","814","-18.0(-2.16%)"
"156A","マテリアルグループ","東G","831","-3.0(-0.36%)"
"157A","グリーンモンスター","東G","713","-62.0(-8.00%)"
"1605","ＩＮＰＥＸ","東P","3616.0","+50.0(+1.40%)"
"160A","アズパートナーズ","東S","2057","-11.0(-0.53%)"
"1662","石油資源開発","東P","1766","+34.0(+1.96%)"
"1663","Ｋ＆Ｏエナジーグループ","東P","1826","+25.0(+1.39%)"
"166A","タスキＨＬＤＧ","東P","1064","-3.0(-0.28%)"
"167A","リョーサン菱洋ＨＬＤＧ","東P","2840","+15.0(+0.53%)"
"168A","イタミアート","東G","1069","+2.0(+0.19%)"
"1711","ＳＤＳＨＬＤＧ","東S","233","+0.0(+0.00%)"
